author,text,likeCount,publishedAt
@Manukkumanukmu,"Lucu Lg saya , Krn saking senengnya liat ratnar cetak gool , smpe kebawa mimpi , di situ mimpinya saya Lg berdua naik mobil , trs dia turun dari mobil , tp lupa gk pake rem tangan , akhirnya mobil nya jalan kedepan , & saya inisiatif saya hidupin mobilnya trs saya munduriin , ehhh bis mundur di rem gk bisa smpe labas trs ke belakang , smpe akhirnya masuk jurang ..  trs bang ratnar nyariin , trs saya triak dari bawah , "" Bang ratnar , rokok gw tolong cariin , rokok gw jatuh bang"" & sekian",0,2024-09-06T06:46:57Z
@fabian205pro8,🔥🔥🔥,0,2024-09-06T06:46:50Z
@putramataram5655,mancini ngellu ndasssee,0,2024-09-06T06:46:39Z
@riansibungsu1017,"Detik"" akhir leg2 kalau saja umpan nya sampai ke Ragnar mungkin Indonesia gol ke 2, tapi mereka hebat sudah berjuang menang kalah tetap dukung",0,2024-09-06T06:46:25Z
@SinggihArdiyanto-ql5tv,😂alhamdulilah😂😂,0,2024-09-06T06:46:24Z
@ajipras0485,Albulayahi memang harus di depak😂,0,2024-09-06T06:46:10Z
@bibitunik1012,ada 2 peluang emas..klo misal gol bisa 3-1 skor,0,2024-09-06T06:46:06Z
@haryabdullahmukmin2895,Hadirin Jumat yang berbahagia ini mah 😅,0,2024-09-06T06:45:36Z
@AGAM-ADVENTURE,"Luar biasa Marten paes,, tankyuu",0,2024-09-06T06:45:30Z
@MediaUpdate-ucus,"atitude no.5 kalo lawan indo baik sekali,..dia tau indonesia negara semuslim...",0,2024-09-06T06:45:19Z
@nadiaputriikaw,sangarr,0,2024-09-06T06:45:09Z
@pengusahaminyak,"Kalau dilihat2, Indonesia bahkan bisa saja memenangkan pertandingan.",0,2024-09-06T06:45:08Z
@dwiriyanto1242,"Walaupun Serie, Point koefisien FIFA bagi Timnas nambah.. mantap 😂",0,2024-09-06T06:45:00Z
@stevanobusnen5212,ragnar staminanya ngeri,0,2024-09-06T06:44:40Z
@aranthony,Ehh itu timnas indo kah...mainnya kok gtu yaa...kyk gk prcayaa q....buagusss bngettt mainnya...kelas dunia❤❤❤❤,0,2024-09-06T06:44:26Z
@ricolidismawan1627,Baru kali ini gw bangga banget sm timnas. Famous,0,2024-09-06T06:44:20Z
@jokoulliridho1188,"Kelas kita mancini boss,,, bukan lagi asiann….goo  king indoo😂",0,2024-09-06T06:44:17Z
@fahrulnawan40,Kita semua bangga timnas skrg...jgn dengar mereka2 yg bnyak bacot buat hancurin timnas kebanggaan kita,0,2024-09-06T06:43:18Z
@efg_games,Cuman 1 kata aja MANTAP💪💪💪💪,0,2024-09-06T06:43:00Z
@elryans8186,Respect untuk permainan Indonesia dan coach sty👏🫡,0,2024-09-06T06:42:45Z
@yadiadi2858,AsLi pemain eropa bukan pemain indonesia asli pemain asli pribumi cuma 2,0,2024-09-06T06:42:44Z
@WardiPorsea,Lumayan bisa bumkam mancini,0,2024-09-06T06:42:44Z
