author,text,likeCount,publishedAt
@diki-i8y,❤😂😂😂😂😂😂😭😭😭😭😭😭😭😭😎😭😎😭😭😭😎😎😎😎😎😎😎🤭🤫🥰9👍👍🥰🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫7🤭😭🤑🤑🤑🤑1,0,2024-09-18T05:52:49Z
@kidsdoballoon,❤ garuda,0,2024-09-18T05:43:24Z
@CINTA_BINTANG,Jgn pake lagi Marcelino permainan rusak klo ada dia lbh baik witan,0,2024-09-18T05:31:59Z
@jordybrasman2100,🎉,0,2024-09-17T18:32:58Z
@fahmifadlysyafrianur,KAMBUAYA mainkan vs BAHRAIN coach STY. Marcelino terlalu egois.,0,2024-09-17T14:03:15Z
@SandulChannel,"Kayak nonton sepakbola taram, kayak ikan di lasih pelet",0,2024-09-17T13:50:11Z
@uburuburnakal4454,Sulit berkembang permainan timnas tidak sama waktu di qatar.. tp lumayan lah bisa nahan imbang,0,2024-09-17T09:29:37Z
@Rahman-m5f,Timnas kita sangat beruntung punya kiper handal kalau tidak pasti nya dibantai sama Australia karna permainan nya masih jauh dari lawan. Semoga saja bisa ambil hikmahnya semoga sukses ke pildun❤ ...,0,2024-09-17T08:03:03Z
@anastasiatete1810,Terlalu keren marten pais,0,2024-09-17T02:47:53Z
@djoko78,"Siapapun kalian (tim-nas garuda) kami bangga karena kita adalah INDONESIA, bermain bagus kami sudah senang, bisa mengimbangi lawan² eropa kami bangga, apalagi bisa MENANG..sangat luar biasa. Kami hanya bisa berdoa kalianlah ksatria-kesatria dilapangan hijau, sukses selalu tim garudaku💪",0,2024-09-17T02:16:30Z
@blueocean1561,Lini depannya harus digembleng keras nih biar makin ciamik timnas,0,2024-09-17T01:16:12Z
@BesatjalsHskaks,"Next no 7 gausah di mainin. 
Monoton main nya",0,2024-09-16T23:14:28Z
@bayusobani4715,Lllmmmmmmmm,1,2024-09-16T17:22:06Z
@amgaming96,Marcelino out,0,2024-09-16T15:11:16Z
@cahayahati3685,"mereka bener"" orang indo bener"" berjuang mati""an😢",0,2024-09-16T14:01:06Z
@diannugraheni9968,indo jatuh di biarin tapi asustralia di perhati in niat gak si,0,2024-09-16T09:50:22Z
@Theend-d4q,"Australia held to a draw, is this Indonesia now?😮",0,2024-09-16T09:23:59Z
@saepuljokian1613,"Come on wasit Indonesia,Sepak bola indonesia sudah canggih,timnas indonesia  sudah berjuang keras buat piala dunia masa wasit indonesia masih ga adil",0,2024-09-16T08:08:02Z
@Gm_channel,Martin dan verdonk nice❤❤❤,1,2024-09-16T04:22:19Z
@fransiskusreyaan8048,Laris manis yg katanya pemain keturunan penjajah.,0,2024-09-16T01:50:37Z
@yudisupriadi-s3d,INDONESIA THE BEST,1,2024-09-16T01:08:28Z
@001u4l,"yang tadinya gerasak gerusuk, sekarang kelihatan lebih tenang main nya, menyala ❤️‍🔥🔥",3,2024-09-16T00:03:01Z
@YanerMoruk,Sem🎉🎉🎉,1,2024-09-15T23:35:50Z
@itusermyid,peter cechnya indonesia = marten paes,1,2024-09-15T17:41:52Z
@BejoneAwak,"Indonesia Sangat Minim Tendangan Langsung,Tendangan Jarak Jauh,Shoot on Target Sangat Minim,Terlalu Banyak Bermain Di Sekitar Kotak Penalti,Usahakan Banyak Tendangan Langsung Luar Kotak Penalti Yang On Target,Lebih Menghemat Tenaga dan Waktu",1,2024-09-15T17:35:41Z
@iwayandirgayasa6424,katanya macan asian yg tertidur ya udh waktunya BANGUN 🔥,1,2024-09-15T17:32:17Z
@Binuga2712,Mantap semoga pas melawan Bahrain dan cina bisa menang.,1,2024-09-15T11:37:00Z
@escreamcorong1878,Kita berharap Bahrain seri lawan china dikandang atw pun di tandang,0,2024-09-15T10:42:29Z
@escreamcorong1878,Tidak mudah mengalahkan Australia.. Saya kira kita tidak kebobolan saja sudah beruntung.. Mungkin bukan hari nya Australia ketika kalah lawan Bahrain dan seri lawan Indonesia..,1,2024-09-15T10:41:43Z
@ARFA-24,10 menit awal indo dominan 80 menit akhir  di bantai 😂 dan 90% pemain natularisasi 😂 dan parahnya masih di maklumi dengan kata beda ringking😂 kocak memang negara wakanda,1,2024-09-15T10:34:49Z
@AndarAndar-f2w,"Seandainya,tom haye lebi dulu masuk lain cerita bisa ada gol,gara2 marselini lebi dulu ahirnya jdi begini",0,2024-09-15T10:23:11Z
@wandi9566,Martin paes memang kiper jos👍👍,0,2024-09-15T09:39:20Z
@DzulhiDwikiAkbar,"ingat gaes, di grup ini kita tuh underdog. Jadi harus nothing to lose biar mainnya nyantai. Peran Indonesia tuh gue harap bisa jadi Giant Killer",0,2024-09-15T08:53:43Z
@Jcell3Kalisat-qx1bj,"Ujian menuju pildun semakin berat, timnas jangan sampai terlena. Semoga timnas mampu melaju sampai ke piala dunia. Aamiin....",0,2024-09-15T06:14:01Z
@KomarUdin-j4z,Waktu Natan johe di dorong pinalti itu,0,2024-09-15T04:41:32Z
@KomarUdin-j4z,Ada yg pinalty sebetulnya itu,0,2024-09-15T04:40:33Z
@FerdyKendari,Ayo ketua PSSI naturalisasi Ronaldo dan Messi utk menambah daya serang Indonesia 😂,0,2024-09-14T23:28:50Z
