author,text,likeCount,publishedAt
@mark5715,"Graham Arnold should not have been Socceroos' coach ever. Not only he is very bat tactician, technician, strategist but also selector. I feel sorry for very good Aussie players never selected to represent their country and good players selected but not being coach correctly to showcase their talent. Playing football is not about possession of the ball especially in your own half but what you do with the ball. If you don't have the ball in penalty area of the opponent than you never win.",0,2024-09-12T03:14:44Z
@muskalembochannel7750,"Hahaha😂😅 kasian Australia, jangan coba coba main Garuda Asian, Indonesian 🇮🇩😁😅☺️🇮🇩💪👏🔥",0,2024-09-12T03:14:23Z
@toi6513,Netherlands C and Australia,0,2024-09-12T03:05:32Z
@b2.borisuthborisuth589,Australian National Team  VS United Nations Team,0,2024-09-12T03:00:41Z
@seanbutnotasheeple2090,"No offence to Indonesia, but how can we perform so well at the WC, but struggle locally?",0,2024-09-12T02:34:19Z
@mygmailatwork6647,"This title is wrong, mate. It says Indonesia vs Australia, but it should be Dutch East Indies vs Australia since Indonesia was using Dutch players!",0,2024-09-12T01:15:43Z
@connector-r1e,"인도네시아도, 호주도 토종 자국민들의 별로 없군요.....중공도 마찬가지이고...",0,2024-09-12T00:50:39Z
@James.Prince,Call Mel Gibson and Dolph Lundgren,0,2024-09-12T00:42:41Z
@PSB-gj9xd,Nearly every shot was at the goal keeper. It's time for Football Australia to take a good look at themselves. No Promotion/Relegation in the A League does not encourage skills to increase.....just mediocrity... Nothing to fight for at the bottom of the A League!,0,2024-09-12T00:25:53Z
@MichaelJohn06,Such a very tough match between Indonesia 🇮🇩 and Australia 🇦🇺,0,2024-09-11T23:26:00Z
@MovistarMonster,"Futbol in Asia is starting to close the gap against the stronger ranked teams, it’s becoming more competitive not just one sided like it was 5 or so years ago. Good to see!",0,2024-09-11T23:16:23Z
@rsgarage88,0-0 goal... 132 world rank vs 24 world rank 😂,0,2024-09-11T21:05:22Z
@anakmama6345,Congrats for Australia berhasil menahan imbang King Indo 🥶,0,2024-09-11T20:24:12Z
@Orangbodoh-px9cv,"thank you very much Australia, you have given us a test, this match makes us feel more confident, what is certain is that Indonesia is starting to improve and is not like the previous team, you are extraordinary, our ranking is low but that doesn't mean we are a lowly team, thank you for your visit, thank you very much 🇦🇺 vs 🇮🇩 👏👏👍",1,2024-09-11T19:25:00Z
@MegaTimtheman,Might need to give ofc a call for a reunion,0,2024-09-11T19:23:47Z
@SyazwanOthamani,Luck for Indonesia team.,0,2024-09-11T18:37:03Z
@superjee2727,Theres a invincible wall behind paes,0,2024-09-11T17:04:38Z
@James.Prince,"iki piye critane Australia kok iso  ngene ki, meh keok ambek Indonesia",0,2024-09-11T17:03:25Z
@muchlisprast3454,The atmosphere was insane! Let’s go indonesia!!! 2026 USA,0,2024-09-11T15:07:08Z
@evannave9718,"134 vs 24 = 0 : 0
if he had stayed and not been fired, believe me Australia would have been massacred by Japanese samurai.😂😂",0,2024-09-11T14:28:24Z
@heryachannel1784,"𝑲𝒂𝒍𝒂𝒖 𝒊𝒏𝒊 𝒔𝒌𝒊𝒍𝒍 𝒕𝒆𝒓𝒃𝒂𝒊𝒌 𝒂𝒖𝒔𝒕𝒓𝒂𝒍𝒊𝒂, 𝒎𝒂𝒌𝒂 𝒕𝒆𝒏𝒕𝒖𝒏𝒚𝒂 𝒊𝒏𝒅𝒐𝒏𝒆𝒔𝒊𝒂 𝒑𝒂𝒕𝒖𝒕𝒍𝒂𝒉  𝒃𝒂𝒏𝒈𝒈𝒂, 𝟐 𝟎 𝒈𝒊𝒕𝒖 𝒍𝒐𝒉 (𝟎𝟎)=𝟐 𝟎",0,2024-09-11T12:47:08Z
@waqasusmani7124,Indonesia national team are simply amazing... i will not surprise if they could qualify in 2026 or 2030,28,2024-09-11T12:36:42Z
@DinaNoviyanti-f2g,Marteen paes GG sihh,0,2024-09-11T12:26:47Z
@jmaguswibowo4316,Indonesia is the best,0,2024-09-11T12:22:01Z
@yamadanoda,losing to indonesia is crazy,0,2024-09-11T12:07:39Z
@brisvegas859,I think Australia need a new coach,0,2024-09-11T12:02:41Z
@pakcharlos,"Autralia Mainnya Bagus sekali, tapi Indonesia Juga Punya Pertahanan Yang bagus.",0,2024-09-11T11:56:40Z
@HungPham-cl1lp,Indonesia Number 1 Southeast Asia,2,2024-09-11T11:55:46Z
@generasiombak,"Australia bad luck, Indonesia lucky",0,2024-09-11T11:06:46Z
@Arbynara-vu9df,same good team,0,2024-09-11T10:38:48Z
@johnbowler395,"Great to see football supporters from different countries, all having polite and friendly conversation in comments here.",73,2024-09-11T09:47:53Z
@putuindra5759,Paes.....!!!! 🔥🔥🔥,0,2024-09-11T09:39:43Z
@hanahoah7325,It's extraordinary that Australia was able to hold Indonesia to a draw. Love from Indonesia,25,2024-09-11T09:36:21Z
@ninjaskeleton6140,"Can’t see Australia making it this time. We don’t have the players. 

Perhaps a better coach could get more out of the players we do have, but it’s clear there are big problems in Australian soccer that need to be addressed before we can have any real progress.",1,2024-09-11T09:27:20Z
@nickybutt9733,SOKKAH,0,2024-09-11T08:41:26Z
@rahmaddoank8622,"Being here is much worthy than winning the AFF cup, sorry",0,2024-09-11T08:32:20Z
@sicharmingman,Amazing athmosphere at GBK Stadium ❤,0,2024-09-11T08:19:16Z
@markbaston8147,Pathetic.,0,2024-09-11T08:06:39Z
@iyanispt,🇮🇩🇮🇩🇮🇩,0,2024-09-11T08:05:22Z
@snowman5085,Is this a video of the Australian Football Association? I'm surprised to see so many comments that seem to be from Indonesians.,0,2024-09-11T08:00:00Z
@Ronaldo_74512,When did Australia join Asia 🤔,0,2024-09-11T07:58:50Z
@Ronaldo_74512,Don’t think your in the World Cup yet Indonesia you have Japan 🇯🇵 😈,0,2024-09-11T07:57:36Z
@SIMGowa,Boleh juga ini Timnas Australia bisa nahan imbang King Indo.,0,2024-09-11T07:54:23Z
@raiwismatara2398,"draw, but Australian win the ball possession",0,2024-09-11T07:11:08Z
@sosososososo4148,How has Australia got this bad recently,0,2024-09-11T07:01:10Z
@mozadiidmas5384,"Australia is still The Big Five  teams in Asia, Indonesia is just  getting better and improved...",1,2024-09-11T06:55:10Z
@AussieRoberts,"With all the money and programs we have for soccer, how are we still so shit? Such an embarrassment",0,2024-09-11T06:30:50Z
@Ceritamalam88,❤❤GARUDA❤❤,1,2024-09-11T06:30:42Z
@cahyaagungsaputra1409,"Hebat sekali, Australia bisa nahan imbang Indonesia",0,2024-09-11T06:24:45Z
@choi_An,"Australia were very dominant but Indonesia's defense was quite good, not a bad result against the 24th ranked FIFA team",31,2024-09-11T06:19:10Z
@gerrymarlowe5541,"Congrats Indonesia. When I heard you got a draw with Saudi Arabia I thought you must be on your way up in the football world. Unfortunately (from my point of view) the Aussie teams, male and female seem to be on the way down.",1,2024-09-11T06:16:16Z
@Russiaisshit78,It's not Australia 0-0 Indonesia it's Australia 0-0 Dutch 3.0😂😂😂,0,2024-09-11T06:13:12Z
